소분류,세부분류,업체명,주소,전화번호,사업자등록일,업데이트일,정제주소
일반음식점,한식,대박 삼겹살,"인천광역시 서구 거북로77번길 2, 1층 일부호 (석남동) ", ,2025-07-03,2025-07-05 04:11:07,인천광역시 서구 거북로77번길 2/1층 (석남동)
일반음식점,기타,브런치 타임,"인천광역시 서구 검단로 748, 일번지프라자 102호 (불로동) ", ,2025-07-03,2025-07-05 04:11:07,인천광역시 서구 검단로 748 일번지프라자 102호 (불로동)
일반음식점,한식,들밥차반 삼산점,"인천광역시 부평구 길주로 659, 미라쥬타워 2층 206,207,208,209,210호 (삼산동) ", ,2025-07-03,2025-07-05 04:11:01,인천광역시 부평구 길주로 659 미라쥬타워 2층 206/207/208/209/210호 (삼산동)
일반음식점,"외국음식전문점(인도,태국등)",팟카파우,"인천광역시 부평구 광장로 16, 부평민자역사 본건물 나호 지하1층 74호 (부평동) ", ,2025-07-02,2025-07-04 04:11:40,인천광역시 부평구 광장로 16 부평민자역사 본건물 나호 지하1층 74호 (부평동)
일반음식점,감성주점,발렌타인 바,"인천광역시 남동구 논고개로123번길 35, 칼리오페 2층 214호 (논현동) ", ,2025-07-02,2025-07-04 04:11:35,인천광역시 남동구 논고개로123번길 35 칼리오페 2층 214호 (논현동)
일반음식점,기타,영종도 야시장,"인천광역시 중구 하늘달빛로 90-27, 1층 102,103,104,105호 (중산동) ", ,2025-07-02,2025-07-04 04:11:26,인천광역시 중구 하늘달빛로 90-27/1층 102/103/104/105호 (중산동)
일반음식점,뷔페식,초심한식뷔페,"인천광역시 중구 서해대로93번길 8, 1층 (항동7가) ", ,2025-07-02,2025-07-04 04:11:26,인천광역시 중구 서해대로93번길 8/1층 (항동7가)
일반음식점,기타,KFC 인천영종점,"인천광역시 중구 하늘달빛로 90-27, 1층 111,112호 (중산동) ", ,2025-07-02,2025-07-04 04:11:26,인천광역시 중구 하늘달빛로 90-27/1층 111/112호 (중산동)
일반음식점,식육(숯불구이),일편돈심,"인천광역시 중구 모랫말로 36-3, 1층 (운서동) ", ,2025-07-02,2025-07-06 04:12:26,인천광역시 중구 모랫말로 36-3/1층 (운서동)
일반음식점,식육(숯불구이),육식사관학교 인천석남점,"인천광역시 서구 옻우물로8번길 10, 1층 일부호 (석남동) ", ,2025-07-02,2025-07-10 04:12:34,인천광역시 서구 옻우물로8번길 10/1층 (석남동)
일반음식점,기타,그리릭,"인천광역시 서구 청라커낼로 277, 지하1층 일부호 (청라동) ", ,2025-07-02,2025-07-04 04:11:23,인천광역시 서구 청라커낼로 277 지하1층 (청라동)
일반음식점,뷔페식,금하식당 2호점,"인천광역시 서구 이음1로 345, 1층 일부호 (원당동) ", ,2025-07-02,2025-07-04 04:11:23,인천광역시 서구 이음1로 345/1층 (원당동)
일반음식점,김밥(도시락),꼼꼼김밥,"인천광역시 미추홀구 소성로 76, 장미상가 1층 9호 (학익동) ", ,2025-07-02,2025-07-04 04:11:11,인천광역시 미추홀구 소성로 76 장미상가 1층 9호 (학익동)
일반음식점,한식,장가삼겹살,"인천광역시 미추홀구 미추로 46, 1층 좌측호 (숭의동) ", ,2025-07-02,2025-07-04 04:11:11,인천광역시 미추홀구 미추로 46/1층 (숭의동)
일반음식점,한식,대박 갈비탕,"인천광역시 미추홀구 경인로499번길 3, 1층 (주안동) ", ,2025-07-02,2025-07-04 04:11:11,인천광역시 미추홀구 경인로499번길 3/1층 (주안동)
